report_num,filing_date,url,report_type,report_name,cik_num
000117184320002611,2020-04-14,https://www.sec.gov/Archives/edgar/data//0001321741/000117184320002611/0001171843-20-002611-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000147524620000066,2020-03-24,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000066/0001475246-20-000066-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524620000064,2020-03-24,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000064/0001475246-20-000064-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524620000062,2020-03-23,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000062/0001475246-20-000062-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524620000056,2020-03-20,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000056/0001475246-20-000056-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524620000054,2020-03-19,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000054/0001475246-20-000054-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524620000052,2020-03-19,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000052/0001475246-20-000052-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524620000042,2020-03-16,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000042/0001475246-20-000042-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524620000036,2020-03-16,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000036/0001475246-20-000036-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524620000020,2020-03-13,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000020/0001475246-20-000020-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524620000016,2020-03-03,https://www.sec.gov/Archives/edgar/data//0001321741/000147524620000016/0001475246-20-000016-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000117184320000696,2020-02-04,https://www.sec.gov/Archives/edgar/data//0001321741/000117184320000696/0001171843-20-000696-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312520024218,2020-02-04,https://www.sec.gov/Archives/edgar/data//0001321741/000119312520024218/0001193125-20-024218-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
000117184320000228,2020-01-14,https://www.sec.gov/Archives/edgar/data//0001321741/000117184320000228/0001171843-20-000228-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312519319194,2019-12-19,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519319194/0001193125-19-319194-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312519319119,2019-12-19,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519319119/0001193125-19-319119-index.html,Form 497,Form 497 - Definitive materials:,0001321741
000119312519299391,2019-11-25,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519299391/0001193125-19-299391-index.html,Form 40-17G,Form 40-17G - Fidelity Bond [Rule 17G-1(g)]:,0001321741
000119312519283342,2019-11-04,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519283342/0001193125-19-283342-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
000117184319007139,2019-11-04,https://www.sec.gov/Archives/edgar/data//0001321741/000117184319007139/0001171843-19-007139-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000117184319006413,2019-10-08,https://www.sec.gov/Archives/edgar/data//0001321741/000117184319006413/0001171843-19-006413-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000147524619000031,2019-09-16,https://www.sec.gov/Archives/edgar/data//0001321741/000147524619000031/0001475246-19-000031-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524619000027,2019-09-11,https://www.sec.gov/Archives/edgar/data//0001321741/000147524619000027/0001475246-19-000027-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524619000025,2019-08-19,https://www.sec.gov/Archives/edgar/data//0001321741/000147524619000025/0001475246-19-000025-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000117184319005547,2019-08-19,https://www.sec.gov/Archives/edgar/data//0001321741/000117184319005547/0001171843-19-005547-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000147524619000021,2019-08-15,https://www.sec.gov/Archives/edgar/data//0001321741/000147524619000021/0001475246-19-000021-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000119312519210950,2019-08-01,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519210950/0001193125-19-210950-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000119312519208786,2019-07-31,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519208786/0001193125-19-208786-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
000117184319005031,2019-07-31,https://www.sec.gov/Archives/edgar/data//0001321741/000117184319005031/0001171843-19-005031-index.html,Form 8-K,Form 8-K - Current report:,0001321741
999999999519001673,2019-07-25,https://www.sec.gov/Archives/edgar/data//0001321741/999999999519001673/9999999995-19-001673-index.html,Form EFFECT,Form EFFECT - Notice of Effectiveness:,0001321741
000119312519199497,2019-07-23,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519199497/0001193125-19-199497-index.html,Form CORRESP,Form CORRESP - Correspondence:,0001321741
000119312519199495,2019-07-23,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519199495/0001193125-19-199495-index.html,Form CORRESP,Form CORRESP - Correspondence:,0001321741
000119312519198008,2019-07-19,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519198008/0001193125-19-198008-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000117184319004482,2019-07-09,https://www.sec.gov/Archives/edgar/data//0001321741/000117184319004482/0001171843-19-004482-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312519189739,2019-07-05,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519189739/0001193125-19-189739-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000119312519173657,2019-06-14,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519173657/0001193125-19-173657-index.html,Form N-2,Form N-2 - Registration statement for closed-end investment companies:,0001321741
000119312519173228,2019-06-14,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519173228/0001193125-19-173228-index.html,Form DEF 14A,Form DEF 14A - Other definitive proxy statements:,0001321741
000147524619000014,2019-06-06,https://www.sec.gov/Archives/edgar/data//0001321741/000147524619000014/0001475246-19-000014-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000119312519164087,2019-06-03,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519164087/0001193125-19-164087-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000117184319003316,2019-05-13,https://www.sec.gov/Archives/edgar/data//0001321741/000117184319003316/0001171843-19-003316-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312519145332,2019-05-13,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519145332/0001193125-19-145332-index.html,Form 10-K,"Form 10-K - Annual report [Section 13 and 15(d), not S-K Item 405]:",0001321741
000119312519144234,2019-05-10,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519144234/0001193125-19-144234-index.html,Form PRE 14A,Form PRE 14A - Other preliminary proxy statements:,0001321741
000117184319002313,2019-04-09,https://www.sec.gov/Archives/edgar/data//0001321741/000117184319002313/0001171843-19-002313-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000091384919000114,2019-02-14,https://www.sec.gov/Archives/edgar/data//0001321741/000091384919000114/0000913849-19-000114-index.html,Form SC 13G/A,Form SC 13G/A - Statement of acquisition of beneficial ownership by individuals: ,0001321741
000117184319000721,2019-02-05,https://www.sec.gov/Archives/edgar/data//0001321741/000117184319000721/0001171843-19-000721-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312519028274,2019-02-05,https://www.sec.gov/Archives/edgar/data//0001321741/000119312519028274/0001193125-19-028274-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
000117184319000193,2019-01-08,https://www.sec.gov/Archives/edgar/data//0001321741/000117184319000193/0001171843-19-000193-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000147524618000078,2018-12-12,https://www.sec.gov/Archives/edgar/data//0001321741/000147524618000078/0001475246-18-000078-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000119312518331981,2018-11-21,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518331981/0001193125-18-331981-index.html,Form 40-17G,Form 40-17G - Fidelity Bond [Rule 17G-1(g)]:,0001321741
000147524618000068,2018-11-13,https://www.sec.gov/Archives/edgar/data//0001321741/000147524618000068/0001475246-18-000068-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000147524618000066,2018-11-09,https://www.sec.gov/Archives/edgar/data//0001321741/000147524618000066/0001475246-18-000066-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000117184318007597,2018-11-05,https://www.sec.gov/Archives/edgar/data//0001321741/000117184318007597/0001171843-18-007597-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518318357,2018-11-05,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518318357/0001193125-18-318357-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
000119312518303034,2018-10-19,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518303034/0001193125-18-303034-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000117184318006916,2018-10-09,https://www.sec.gov/Archives/edgar/data//0001321741/000117184318006916/0001171843-18-006916-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518269240,2018-09-07,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518269240/0001193125-18-269240-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518265113,2018-08-31,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518265113/0001193125-18-265113-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000135445718000331,2018-08-30,https://www.sec.gov/Archives/edgar/data//0001321741/000135445718000331/0001354457-18-000331-index.html,Form 25-NSE,"Form 25-NSE - Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securities:",0001321741
000119312518262067,2018-08-29,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518262067/0001193125-18-262067-index.html,Form 497,Form 497 - Definitive materials:,0001321741
000119312518262064,2018-08-29,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518262064/0001193125-18-262064-index.html,Form POS EX,Form POS EX - Post-effective amendment adding exhibits to registration statement [Rule 462(d)]:,0001321741
000119312518256368,2018-08-23,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518256368/0001193125-18-256368-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000135445718000325,2018-08-23,https://www.sec.gov/Archives/edgar/data//0001321741/000135445718000325/0001354457-18-000325-index.html,Form CERT,Form CERT - Certification by an exchange approving securities for listing:,0001321741
000119312518252904,2018-08-20,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518252904/0001193125-18-252904-index.html,Form POS EX,Form POS EX - Post-effective amendment adding exhibits to registration statement [Rule 462(d)]:,0001321741
000119312518252896,2018-08-20,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518252896/0001193125-18-252896-index.html,Form 8-A12B,Form 8-A12B - Registration of securities [Section 12(b)]:,0001321741
000119312518250036,2018-08-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518250036/0001193125-18-250036-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518249999,2018-08-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518249999/0001193125-18-249999-index.html,Form 497,Form 497 - Definitive materials:,0001321741
000119312518249272,2018-08-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518249272/0001193125-18-249272-index.html,Form N-23C-2,Form N-23C-2 - Notice by closed-end investment companies of intent to purchase their own securities:,0001321741
000119312518249270,2018-08-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518249270/0001193125-18-249270-index.html,Form 497AD,Form 497AD - Filing by certain investment companies of Rule 482 advertising [Rule 497 and 482(c)]:,0001321741
000119312518249266,2018-08-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518249266/0001193125-18-249266-index.html,Form 497AD,Form 497AD - Filing by certain investment companies of Rule 482 advertising [Rule 497 and 482(c)]:,0001321741
000119312518247989,2018-08-14,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518247989/0001193125-18-247989-index.html,Form 497AD,Form 497AD - Filing by certain investment companies of Rule 482 advertising [Rule 497 and 482(c)]:,0001321741
000119312518247982,2018-08-14,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518247982/0001193125-18-247982-index.html,Form 497,Form 497 - Definitive materials:,0001321741
000119312518244440,2018-08-09,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518244440/0001193125-18-244440-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518236647,2018-08-02,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518236647/0001193125-18-236647-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000117184318005624,2018-08-01,https://www.sec.gov/Archives/edgar/data//0001321741/000117184318005624/0001171843-18-005624-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518234910,2018-08-01,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518234910/0001193125-18-234910-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
000119312518222511,2018-07-20,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518222511/0001193125-18-222511-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
999999999518001791,2018-07-16,https://www.sec.gov/Archives/edgar/data//0001321741/999999999518001791/9999999995-18-001791-index.html,Form EFFECT,Form EFFECT - Notice of Effectiveness:,0001321741
000119312518217830,2018-07-13,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518217830/0001193125-18-217830-index.html,Form 497,Form 497 - Definitive materials:,0001321741
000119312518216112,2018-07-11,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518216112/0001193125-18-216112-index.html,Form CORRESP,Form CORRESP - Correspondence:,0001321741
000117184318005121,2018-07-10,https://www.sec.gov/Archives/edgar/data//0001321741/000117184318005121/0001171843-18-005121-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518215420,2018-07-10,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518215420/0001193125-18-215420-index.html,Form CORRESP,Form CORRESP - Correspondence:,0001321741
000119312518213775,2018-07-06,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518213775/0001193125-18-213775-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000119312518204043,2018-06-26,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518204043/0001193125-18-204043-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000119312518194204,2018-06-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518194204/0001193125-18-194204-index.html,Form CORRESP,Form CORRESP - Correspondence:,0001321741
000119312518194188,2018-06-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518194188/0001193125-18-194188-index.html,Form DEF 14A,Form DEF 14A - Other definitive proxy statements:,0001321741
000147524618000048,2018-06-12,https://www.sec.gov/Archives/edgar/data//0001321741/000147524618000048/0001475246-18-000048-index.html,Form 4/A,Form 4/A - Statement of changes in beneficial ownership of securities: ,0001321741
000119312518184443,2018-06-05,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518184443/0001193125-18-184443-index.html,Form N-2,Form N-2 - Registration statement for closed-end investment companies:,0001321741
000119312518165404,2018-05-16,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518165404/0001193125-18-165404-index.html,Form PRE 14A,Form PRE 14A - Other preliminary proxy statements:,0001321741
000117184318003962,2018-05-15,https://www.sec.gov/Archives/edgar/data//0001321741/000117184318003962/0001171843-18-003962-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518164066,2018-05-15,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518164066/0001193125-18-164066-index.html,Form 10-K,"Form 10-K - Annual report [Section 13 and 15(d), not S-K Item 405]:",0001321741
000117184318003861,2018-05-11,https://www.sec.gov/Archives/edgar/data//0001321741/000117184318003861/0001171843-18-003861-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000117184318002619,2018-04-10,https://www.sec.gov/Archives/edgar/data//0001321741/000117184318002619/0001171843-18-002619-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000147524618000032,2018-03-06,https://www.sec.gov/Archives/edgar/data//0001321741/000147524618000032/0001475246-18-000032-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000119312518054876,2018-02-23,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518054876/0001193125-18-054876-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518054571,2018-02-22,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518054571/0001193125-18-054571-index.html,Form POS EX,Form POS EX - Post-effective amendment adding exhibits to registration statement [Rule 462(d)]:,0001321741
000119312518054491,2018-02-22,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518054491/0001193125-18-054491-index.html,Form 497,Form 497 - Definitive materials:,0001321741
000104870318000027,2018-02-14,https://www.sec.gov/Archives/edgar/data//0001321741/000104870318000027/0001048703-18-000027-index.html,Form SC 13G/A,Form SC 13G/A - Statement of acquisition of beneficial ownership by individuals: ,0001321741
000091384918000152,2018-02-14,https://www.sec.gov/Archives/edgar/data//0001321741/000091384918000152/0000913849-18-000152-index.html,Form SC 13G,Form SC 13G - Statement of acquisition of beneficial ownership by individuals:,0001321741
000117184318000920,2018-02-06,https://www.sec.gov/Archives/edgar/data//0001321741/000117184318000920/0001171843-18-000920-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312518033299,2018-02-06,https://www.sec.gov/Archives/edgar/data//0001321741/000119312518033299/0001193125-18-033299-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
000117184318000262,2018-01-09,https://www.sec.gov/Archives/edgar/data//0001321741/000117184318000262/0001171843-18-000262-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000147524617000017,2017-11-29,https://www.sec.gov/Archives/edgar/data//0001321741/000147524617000017/0001475246-17-000017-index.html,Form 4,Form 4 - Statement of changes in beneficial ownership of securities:,0001321741
000119312517350394,2017-11-22,https://www.sec.gov/Archives/edgar/data//0001321741/000119312517350394/0001193125-17-350394-index.html,Form 40-17G,Form 40-17G - Fidelity Bond [Rule 17G-1(g)]:,0001321741
000117184317006491,2017-11-01,https://www.sec.gov/Archives/edgar/data//0001321741/000117184317006491/0001171843-17-006491-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312517329381,2017-11-01,https://www.sec.gov/Archives/edgar/data//0001321741/000119312517329381/0001193125-17-329381-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
999999999717009412,2017-10-19,https://www.sec.gov/Archives/edgar/data//0001321741/999999999717009412/9999999997-17-009412-index.html,Form CERTNAS,Form CERTNAS - Certification by the Nasdaq Stock Market approving securities for listing:,0001321741
000119312517307911,2017-10-11,https://www.sec.gov/Archives/edgar/data//0001321741/000119312517307911/0001193125-17-307911-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000117184317005990,2017-10-10,https://www.sec.gov/Archives/edgar/data//0001321741/000117184317005990/0001171843-17-005990-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312517269936,2017-08-28,https://www.sec.gov/Archives/edgar/data//0001321741/000119312517269936/0001193125-17-269936-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312517247025,2017-08-03,https://www.sec.gov/Archives/edgar/data//0001321741/000119312517247025/0001193125-17-247025-index.html,Form DEFA14A,Form DEFA14A - Additional definitive proxy soliciting materials and Rule 14(a)(12) material:,0001321741
000117184317004537,2017-08-01,https://www.sec.gov/Archives/edgar/data//0001321741/000117184317004537/0001171843-17-004537-index.html,Form 8-K,Form 8-K - Current report:,0001321741
000119312517244232,2017-08-01,https://www.sec.gov/Archives/edgar/data//0001321741/000119312517244232/0001193125-17-244232-index.html,Form 10-Q,Form 10-Q - Quarterly report [Sections 13 or 15(d)]:,0001321741
999999999517001978,2017-08-01,https://www.sec.gov/Archives/edgar/data//0001321741/999999999517001978/9999999995-17-001978-index.html,Form EFFECT,Form EFFECT - Notice of Effectiveness:,0001321741
000119312517240464,2017-07-28,https://www.sec.gov/Archives/edgar/data//0001321741/000119312517240464/0001193125-17-240464-index.html,Form CORRESP,Form CORRESP - Correspondence:,0001321741
000119312517240455,2017-07-28,https://www.sec.gov/Archives/edgar/data//0001321741/000119312517240455/0001193125-17-240455-index.html,Form POS 8C,Form POS 8C - Post-effective amendments filed by certain investment companies [Section 8(c)]:,0001321741
